,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1238,29927726,https://www.airbnb.com/rooms/29927726,20240917031253,2024-09-17,city scrape,awesome avondale apartment w/yard - paws welcome!,"Cute 2.5 bedroom apartment in North Avondale that is pup  friendly - this is an entire apartment, not shared rooms ❤️ Nice back (shared) yard to lounge in and a fun, tropical setting to relax in at the end of day after exploring Chicago. Close to Addison bus line and 20 min walk to the Addison blue line. Close to the highway with a beautiful park block away. Walking distance to really great eateries including Cuban, Thai and American/Bars!","Very close to an AMAZING Cuban cafe. I’m Cuban and it’s legit. Only 1 block and easy to walk to. I usually walk down, grab a coffee (.80 cents!!) and take a stroll around our really nice park! One of the best Thai restaurants in the city is also a block away and definitely worth checking out. A great coffee (with amazing donuts!!) is a very enjoyable 20 min walk. The path leads through one of the nicest and most beautiful neighborhoods in Chicago!",https://a0.muscache.com/pictures/hosting/Hosting-29927726/original/a5efee43-64de-4037-b36b-a338e404fd1f.jpeg,28892525,https://www.airbnb.com/users/show/28892525,Jennifer,2015-03-06,"Chicago, IL",,within a day,90%,67%,f,https://a0.muscache.com/im/pictures/user/bdbd1f92-6d5d-403e-996f-3e12feb71374.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdbd1f92-6d5d-403e-996f-3e12feb71374.jpg?aki_policy=profile_x_medium,Norwood Park,2,3,"['email', 'phone']",t,t,Neighborhood highlights,Irving Park,,41.94233,-87.73457,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Refrigerator"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Stove"", ""Exterior security cameras on property"", ""Babysitter recommendations"", ""Coffee"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Private entrance"", ""Bathtub"", ""TV"", ""Long term stays allowed"", ""Lockbox"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""Carbon monoxide alarm"", ""Toaster"", ""Window AC unit"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Board games"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Baking sheet"", ""Kitchen"", ""Cooking basics"", ""Hot water""]",$103.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,8,38,68,343,2024-09-17,11,9,3,2019-04-13,2024-09-09,5.0,4.91,4.91,5.0,5.0,5.0,5.0,R18000026576,f,2,2,0,0,0.17
1275,30791532,https://www.airbnb.com/rooms/30791532,20240917031253,2024-09-17,city scrape,"Lovely Studio Downtown, City View, swimming pool.","You are about to have such an amazing time at this unique large studio apartment in the south loop. Breathtaking view of the Willis Tower, swimming pool, security.",,https://a0.muscache.com/pictures/miso/Hosting-30791532/original/b9ee447c-c949-4fb4-ac91-450efad4f2e4.jpeg,49819547,https://www.airbnb.com/users/show/49819547,Tiago,2015-11-24,"Chicago, IL","I'm a Marketing professional. I love Traveling, I love music and going to bars and restaurants and socialize.",within a day,60%,80%,f,https://a0.muscache.com/im/pictures/user/User-49819547/original/021649fb-9bde-469b-8556-3b6f47b63347.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-49819547/original/021649fb-9bde-469b-8556-3b6f47b63347.jpeg?aki_policy=profile_x_medium,Lower East Side,4,5,"['email', 'phone']",t,t,,Rogers Park,,42.0122,-87.66552,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Refrigerator"", ""Smoke alarm"", ""BBQ grill"", ""Shared pool"", ""Wifi \u2013 27 Mbps"", ""Dishes and silverware"", ""Pets allowed"", ""Paid dryer"", ""HDTV with Netflix"", ""Kitchen"", ""Carbon monoxide alarm"", ""Washer"", ""Window AC unit""]",$485.00,60,1125,60,60,1125,1125,60.0,1125.0,,t,30,60,90,365,2024-09-17,0,0,0,,,,,,,,,,R18000036772,f,1,1,0,0,
1291,30998638,https://www.airbnb.com/rooms/30998638,20240917031253,2024-09-17,city scrape,Historic Wicker Park 3 bedroom,"Beautiful bright & sunny Wicker Park 3 bedroom, 2 bath 1,500 square foot apartment located on the top floor of a private home.  This unit is located just one block away from the Damen Blue Line el subway station in the heart of the vibrant Wicker Park/Bucktown neighborhood.  Less than 5 minute walking distance to some of the hottest restaurants, bars, and boutiques. <br /><br />The unit is accessed through a side gate and up through a back deck to get to the third floor.","Located on a historic tree-lined street in a landmark district, our property is steps away to one of Chicago's coolest entertainment districts known for its local hipster culture, art community, nightlife, and food scene.",https://a0.muscache.com/pictures/8518bc02-58d7-409e-b9ff-a1e28c5887ef.jpg,166431078,https://www.airbnb.com/users/show/166431078,Brian,2018-01-07,"Chicago, IL",,within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/22510ade-0cb2-492e-9d1b-23f0a5cf117c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/22510ade-0cb2-492e-9d1b-23f0a5cf117c.jpg?aki_policy=profile_x_medium,Wicker Park,1,1,"['email', 'phone']",t,t,Neighborhood highlights,West Town,,41.90866,-87.679,Entire guest suite,Entire home/apt,6,2.0,2 baths,3.0,3.0,"[""Paid parking on premises"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Hangers"", ""Oven"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Children\u2019s books and toys"", ""Washer"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$407.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,16,41,63,338,2024-09-17,17,5,1,2019-03-17,2024-08-25,5.0,5.0,5.0,5.0,5.0,5.0,4.76,R22000078321,f,1,1,0,0,0.25
1424,34203707,https://www.airbnb.com/rooms/34203707,20240917031253,2024-09-17,city scrape,GREAT LOCATION DOWNTOWN Long Term Stays WIFI GYM,"⋆★⋆Newly renovated  apartment home. Come home to premium catering style kitchens featuring state of the art stainless steel appliances. Unwind after a long day in your very own relaxing soaking tubs, and take in beautiful and breathtaking city views. A three-minute walk from Lake Michigan and two blocks from Michigan Avenue. Enjoy premium shopping, dining, and nightlife at your doorstep. You can enjoy all that the greater Chicago area has to offer. Laundry room in the building.⋆★⋆","The metropolitan elegance with interior finishes such as dark hardwood-style flooring, stainless steel appliances and crown molding. Glamorous community amenities, including on-site dry cleaning, a state-of-the-art fitness center, a coffee bar and a spacious sundeck add quality to your lifestyle. Ideally located just steps from the lakefront, popular restaurants and Chicago’s best shopping on the Magnificent Mile, The Seneca offers everything you expect in a distinctive Gold Coast community.",https://a0.muscache.com/pictures/964b5b80-2000-4662-b71b-b9b1be5104c4.jpg,49626033,https://www.airbnb.com/users/show/49626033,Roma,2015-11-22,"Chicago, IL","interior designer, love art  and love to travel on my days off!
",within a day,60%,27%,f,https://a0.muscache.com/im/pictures/user/48e5cd86-a030-4206-8195-5c81daba3354.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/48e5cd86-a030-4206-8195-5c81daba3354.jpg?aki_policy=profile_x_medium,River North,13,74,"['email', 'phone']",t,f,Neighborhood highlights,Near North Side,,41.89158,-87.61517,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Paid parking on premises"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Wifi"", ""Pets allowed"", ""Heating"", ""Dryer"", ""Stove"", ""Shampoo"", ""Ethernet connection"", ""Gym"", ""Hangers"", ""Oven"", ""Private entrance"", ""TV"", ""Air conditioning"", ""Patio or balcony"", ""Washer"", ""Elevator"", ""Coffee maker"", ""Dishes and silverware"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$128.00,360,365,360,360,365,365,360.0,365.0,,t,30,60,90,364,2024-09-17,0,0,0,,,,,,,,,,,t,12,12,0,0,
1433,34316136,https://www.airbnb.com/rooms/34316136,20240917031253,2024-09-17,previous scrape,Gorgeous Near West Penthouse w optional parking,"Hello.  I am making available a room in my beautiful condo.  It hardwood floors through out, a balcony and fireplace!  The kitchen comes fully equipped and you will have your own bathroom. This is perfect for a student in the UIC/Medical district or those looking to be close to United Center.  <br /><br />You will be sleeping the second bedroom and have access to your own bathroom.  You will have full access to the kitchen, living room, dining area, balcony.",,https://a0.muscache.com/pictures/bf8ccfd5-4fb9-4666-8dbd-15ccd74182e7.jpg,5363429,https://www.airbnb.com/users/show/5363429,Larry,2013-03-07,"Chicago, IL","Adventurous curious soul, excited about what's next. ",within a day,50%,,f,https://a0.muscache.com/im/pictures/user/bbb31b20-1b37-47b3-b21f-e73f61212e1b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bbb31b20-1b37-47b3-b21f-e73f61212e1b.jpg?aki_policy=profile_x_medium,Near West Side,1,2,"['email', 'phone', 'work_email']",t,t,,Near West Side,,41.88202,-87.6835,Private room in condo,Private room,1,,1 private bath,,,"[""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Private entrance"", ""Free parking on premises"", ""TV"", ""Air conditioning"", ""Lockbox"", ""Washer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Indoor fireplace"", ""Kitchen"", ""Hot water""]",,32,1125,32,32,1125,1125,32.0,1125.0,,t,0,0,0,247,2024-09-17,0,0,0,,,,,,,,,,,f,1,0,1,0,
1451,34597480,https://www.airbnb.com/rooms/34597480,20240917031253,2024-09-17,city scrape,Bright One-Bedroom on the Park,Large one-bedroom close to U Chicago campus. Vintage apartment with modern amenities facing the Midway and Jackson Park. Newly remodeled kitchen and bath with in-unit washer and dryer.,"Walk to uchicago campus, coffee shops, restaurants and bars.",https://a0.muscache.com/pictures/c41b6d00-11b4-4eac-8bab-df074a2903c6.jpg,23006345,https://www.airbnb.com/users/show/23006345,Madeline,2014-10-26,"Chicago, IL",,within a day,75%,29%,f,https://a0.muscache.com/im/users/23006345/profile_pic/1414375460/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/23006345/profile_pic/1414375460/original.jpg?aki_policy=profile_x_medium,Hyde Park,1,1,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,Hyde Park,,41.789,-87.58865,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Bidet"", ""Refrigerator"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""TV with Netflix, Roku, Amazon Prime Video, Hulu"", ""Free dryer \u2013 In unit"", ""Stove"", ""Garden view"", ""Record player"", ""Coffee"", ""Lake access"", ""Shampoo"", ""Ethernet connection"", ""Sound system"", ""Hangers"", ""Oven"", ""Wine glasses"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Clothing storage"", ""Long term stays allowed"", ""Rice maker"", ""Hot water kettle"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Dishes and silverware"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Extra pillows and blankets"", ""Free street parking"", ""Keypad"", ""Freezer"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$250.00,32,1125,32,32,1125,1125,32.0,1125.0,,t,2,2,25,270,2024-09-17,12,0,0,2019-07-26,2023-05-27,4.92,4.92,4.92,5.0,5.0,4.83,4.5,R19000041362,f,1,1,0,0,0.19
1454,34649740,https://www.airbnb.com/rooms/34649740,20240917031253,2024-09-17,city scrape,Sparkling Clean and Sanitized Chicago Coach House,Stay our historic 1886 Chicago coach house nestled in Bridgeport's arts district.<br />It has been fully rehabbed with brand new finishes and appliances.  <br />Decorated in modern farmhouse design.  Well lit exterior and an inviting courtyard with charming festoon lights.,"Enjoy your stay in our rehabbed 1886 coach house and revel in the best of Bridgeport's history and culture mere steps away from your front door.<br /><br />You can check out our blog and Facebook page for more updated information on the neighborhood and Chicago.  www.chicagocoachhouse. com  https://www.facebook. com/ ChicagoCoachHouse <br /><br />Get a taste of the real Windy City in the home to five Chicago mayors--Bridgeport. <br /><br />Home of some of the best functioning representations of the Chicago worker cottage, the Chicago White Sox and the famed Zhou B art gallery, partake in Bridgeport's finest with the Morgan St. arts corridor and the Bridgeport Arts Center just steps away.  <br /><br />Start your day with a great cup of joe from Bridgeport Coffee or unwind with a local craft brew from Maria's after a day of sightseeing.  <br /><br />Great food options abound with Zaytune Mediterranean, the Polo Cafe, Nonna Soluri's Italian Sandwiches, Kimski's Polish/Korean, Antique Taco",https://a0.muscache.com/pictures/893e6643-b2b0-426e-b532-5cd268bb5518.jpg,261404932,https://www.airbnb.com/users/show/261404932,Emily,2019-05-12,"Chicago, IL","My husband and I love Chicago and especially enjoy sharing our appreciation of architecture,  great food and fun experiences with our guests.

And when we travel, our favorite part is meeting new people.   

Now that we have kids and travel less than we'd like,  being a host allows us the perfect opportunity to meet people from around the world.

Share your story with us!
",within a day,100%,,f,https://a0.muscache.com/im/pictures/user/9690b93c-311d-4e5f-a238-6ababc98acfe.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9690b93c-311d-4e5f-a238-6ababc98acfe.jpg?aki_policy=profile_x_medium,Bridgeport,2,2,"['email', 'phone']",t,f,Neighborhood highlights,Bridgeport,,41.83326,-87.65196,Entire cottage,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Shower gel"", ""Refrigerator"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Shampoo"", ""Sound system"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Children\u2019s dinnerware"", ""TV"", ""Air conditioning"", ""Long term stays allowed"", ""Children\u2019s books and toys"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Washer"", ""Conditioner"", ""Hair dryer"", ""Essentials"", ""Bed linens"", ""Dishes and silverware"", ""Iron"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Smoke alarm"", ""Single level home"", ""Free street parking"", ""Board games"", ""Freezer"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$79.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,77,2024-09-17,68,0,0,2019-07-14,2021-05-31,4.84,4.84,4.9,4.97,4.99,4.85,4.84,R19000043822,f,2,2,0,0,1.08
1464,34809632,https://www.airbnb.com/rooms/34809632,20240917031253,2024-09-17,city scrape,Cozy Stay,"Located a few blocks from the University of Chicago and 1 mile west of Chicago's beautiful lakefront, this 1st floor Condo offers plenty of comfort and space.  Bedroom includes a firm Queen-size mattress and plenty of shared space.","One of Chicago's best coffee shops ""Greenline Coffee"" is only across the street. Washington Park one block away.  4 block from Chicago Metro Squash House. Neighboring Hyde Park is full of wonderful restaurants, shopping, and other entertainment (music, museums, theater). A stroll along the university campus or the lakefront always renews the spirit. The Museum of Science and Industry, beaches and the Jackson Park golf course are only a few blocks away!",https://a0.muscache.com/pictures/86481303/55bb0422_original.jpg,32200299,https://www.airbnb.com/users/show/32200299,Nate,2015-04-29,"Chicago, IL",,within a day,90%,86%,t,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_x_medium,Woodlawn,5,6,"['email', 'phone']",t,t,Neighborhood highlights,Woodlawn,,41.783544,-87.613592,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Refrigerator"", ""Bikes"", ""First aid kit"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Shared backyard \u2013 Fully fenced"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Dining table"", ""Lock on bedroom door"", ""Shampoo"", ""Coffee"", ""Bread maker"", ""Hangers"", ""Oven"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""TV"", ""Air conditioning"", ""Private BBQ grill: charcoal"", ""Lockbox"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Barbecue utensils"", ""Ceiling fan"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Free street parking"", ""Freezer"", ""Baking sheet"", ""Portable fans"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$50.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,9,37,67,341,2024-09-17,17,0,0,2019-05-22,2023-08-12,4.94,5.0,4.94,4.88,5.0,4.71,4.94,R17000015110,f,5,3,2,0,0.26
1468,34866762,https://www.airbnb.com/rooms/34866762,20240917031253,2024-09-17,city scrape,Comfy 2 Bedroom Apartment w/ Office,"Located a few blocks from the University of Chicago and 1 mile west of Chicago's beautiful lakefront, this 1st floor Condo offers plenty of comfort and space.  2 Bedrooms include firm Queen-size mattress and plenty of space.  Dedicated office space","One of Chicago's best coffee shops ""Greenline Coffee"" is only across the street. Washington Park one block away. 4 block from Chicago Metro Squash House. Neighboring Hyde Park is full of wonderful restaurants, shopping, and other entertainment (music, museums, theater). A stroll along the university campus or the lakefront always renews the spirit. The Museum of Science and Industry, beaches and the Jackson Park golf course are only a few blocks away!",https://a0.muscache.com/pictures/86481303/55bb0422_original.jpg,32200299,https://www.airbnb.com/users/show/32200299,Nate,2015-04-29,"Chicago, IL",,within a day,90%,86%,t,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_x_medium,Woodlawn,5,6,"['email', 'phone']",t,t,Neighborhood highlights,Woodlawn,,41.78406,-87.61273,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Backyard"", ""Self check-in"", ""Wifi"", ""Dishwasher"", ""Heating"", ""Dryer"", ""Stove"", ""Exterior security cameras on property"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Wine glasses"", ""Hangers"", ""Oven"", ""Free parking on premises"", ""Bathtub"", ""Clothing storage"", ""TV"", ""Air conditioning"", ""Lockbox"", ""Hot water kettle"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Barbecue utensils"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Toaster"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Free street parking"", ""Freezer"", ""Baking sheet"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$115.00,2,90,2,2,90,90,2.0,90.0,,t,0,26,56,331,2024-09-17,68,30,2,2022-08-08,2024-08-26,4.99,4.99,4.99,5.0,5.0,4.63,4.94,R17000015110,f,5,3,2,0,2.64
1469,34866772,https://www.airbnb.com/rooms/34866772,20240917031253,2024-09-17,city scrape,Comfy Stay,"Located a few blocks from the University of Chicago and 1 mile west of Chicago's beautiful lakefront, this 1st floor Condo offers plenty of comfort and space.  Bedroom includes a firm Queen-size mattress and plenty of shared space.","One of Chicago's best coffee shops ""Greenline Coffee"" is only across the street. Washington Park one block away.  4 block from Chicago Metro Squash House. Neighboring Hyde Park is full of wonderful restaurants, shopping, and other entertainment (music, museums, theater). A stroll along the university campus or the lakefront always renews the spirit. The Museum of Science and Industry, beaches and the Jackson Park golf course are only a few blocks away!",https://a0.muscache.com/pictures/86481303/55bb0422_original.jpg,32200299,https://www.airbnb.com/users/show/32200299,Nate,2015-04-29,"Chicago, IL",,within a day,90%,86%,t,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/32200299/profile_pic/1434343154/original.jpg?aki_policy=profile_x_medium,Woodlawn,5,6,"['email', 'phone']",t,t,Neighborhood highlights,Woodlawn,,41.78417,-87.61256,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,"[""First aid kit"", ""Self check-in"", ""Wifi"", ""Heating"", ""Dryer"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Private entrance"", ""Free parking on premises"", ""Bathtub"", ""Lockbox"", ""Central air conditioning"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Iron"", ""Fire extinguisher"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""HDTV with Amazon Prime Video, Chromecast, Hulu, Netflix, Roku"", ""Kitchen"", ""Breakfast""]",$57.00,2,90,2,2,90,90,2.0,90.0,,t,4,33,63,152,2024-09-17,8,1,0,2022-06-05,2024-05-18,5.0,5.0,5.0,5.0,5.0,4.75,5.0,R17000015110,f,5,3,2,0,0.29
1629,37752023,https://www.airbnb.com/rooms/37752023,20240917031253,2024-09-17,city scrape,Spacious smart apartment with theater & jacuzzi.,"Welcome to spacious, top floor, freshly painted apartment in Old Irving Park neighborhood. Enjoy 1300 square ft. (~120 sq. m.) space with granite countertops, Apple TV home theater, in-unit washer and dryer, whole apartment sound system, jacuzzi, and dimmer lighting. Control lightning and music via smart phone or assistant. 5 minutes walk to the CTA Blue line, close proximity to major Chicago highways.",Proximity to Blue line (use Addison stop - the walk is so much nicer) ensures that you will be at the terminal  within 30 minutes - it's 20 minutes train ride - this is why we got this place in the first place. If you drive you can be downtown within 15 minutes. (I use Barteau Ave to get to I-90 west and Kimball for eastbound). Right downstairs there is lovey coffeeshop  and pretty awesome restaurant Hearth & Crust .<br />If you like parks Horner Park (Irving Park / California) is just awesome - try walk right on the river!. We have other 2 parks within walking distance the are also amazing and pet friendly.,https://a0.muscache.com/pictures/miso/Hosting-37752023/original/c46348c2-7c1e-4a7f-853d-58e8174dc636.jpeg,25764937,https://www.airbnb.com/users/show/25764937,Andre,2015-01-07,"Chicago, IL",I am techy guy who likes to repair things. I enjoy good music and awesome company.,within a day,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-25764937/original/f7651a0b-ed1c-435a-8625-d0d0b5ea6a03.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-25764937/original/f7651a0b-ed1c-435a-8625-d0d0b5ea6a03.jpeg?aki_policy=profile_x_medium,Irving Park,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Irving Park,,41.95533,-87.71745,Entire condo,Entire home/apt,6,1.0,1 bath,2.0,2.0,"[""Shower gel"", ""Refrigerator"", ""BBQ grill"", ""First aid kit"", ""Shared gym in building"", ""Self check-in"", ""Dishwasher"", ""Pets allowed"", ""Heating"", ""Free dryer \u2013 In unit"", ""Shared backyard \u2013 Fully fenced"", ""Fast wifi \u2013 192 Mbps"", ""Smart lock"", ""Babysitter recommendations"", ""Record player"", ""Dining table"", ""Coffee"", ""Shampoo"", ""Ethernet connection"", ""Exercise equipment: free weights, yoga mat"", ""Sound system"", ""Hangers"", ""Wine glasses"", ""Coffee maker: drip coffee maker, espresso machine"", ""Room-darkening shades"", ""Outdoor furniture"", ""Long term stays allowed"", ""Central air conditioning"", ""50 inch HDTV with Amazon Prime Video, Apple TV, Netflix"", ""Hot water kettle"", ""Paid parking garage on premises \u2013 1 space"", ""Body soap"", ""Mosquito net"", ""Books and reading material"", ""Conditioner"", ""Hair dryer"", ""Cleaning products"", ""Essentials"", ""Bed linens"", ""Iron"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""City skyline view"", ""Private hot tub"", ""Frigidaire stainless steel single oven"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Frigidaire stainless steel gas stove"", ""Free street parking"", ""Blender"", ""Board games"", ""Clothing storage: closet and dresser"", ""Freezer"", ""Ceiling fan"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Hot water""]",$95.00,32,365,32,32,1125,1125,32.0,1125.0,,t,0,0,16,91,2024-09-17,18,5,1,2019-08-28,2024-09-01,5.0,5.0,4.89,5.0,4.94,4.83,4.94,R19000044951,f,1,1,0,0,0.29
